Wavelength;Channel 1
1524.179999999987;-41.1
1524.199999999987;-41.5
1524.219999999987;-42.01
1524.239999999987;-42.18
1524.259999999987;-42.37
1524.279999999987;-42.44
1524.299999999987;-42.35
1524.319999999987;-42.18
1524.339999999987;-41.98
1524.359999999987;-41.81
1524.379999999987;-41.7
1524.399999999987;-41.42
1524.4199999999869;-41.27
1524.4399999999869;-41.15
1524.4599999999868;-40.75
1524.4799999999868;-40.27
1524.4999999999868;-39.74
1524.5199999999868;-39.28
1524.5399999999868;-39.02
1524.5599999999868;-38.74
1524.5799999999867;-38.4
1524.5999999999867;-38.02
1524.6199999999867;-37.66
1524.6399999999867;-37.34
1524.6599999999867;-37.04
1524.6799999999866;-36.82
1524.6999999999866;-36.53
1524.7199999999866;-36.29
1524.7399999999866;-36.09
1524.7599999999866;-35.92
1524.7799999999866;-35.79
1524.7999999999865;-35.7
1524.8199999999865;-35.61
1524.8399999999865;-35.53
1524.8599999999865;-35.49
1524.8799999999865;-35.49
1524.8999999999864;-35.46
1524.9199999999864;-35.4
1524.9399999999864;-35.37
1524.9599999999864;-35.35
1524.9799999999864;-35.35
1524.9999999999864;-35.38
1525.0199999999863;-35.43
1525.0399999999863;-35.48
1525.0599999999863;-35.51
1525.0799999999863;-35.56
1525.0999999999863;-35.6
1525.1199999999862;-35.69
1525.1399999999862;-35.83
1525.1599999999862;-35.88
1525.1799999999862;-35.94
1525.1999999999862;-36.05
1525.2199999999862;-36.22
1525.2399999999861;-36.32
1525.2599999999861;-36.57
1525.279999999986;-36.87
1525.299999999986;-37.18
1525.319999999986;-37.47
1525.339999999986;-37.75
1525.359999999986;-38.01
1525.379999999986;-38.21
1525.399999999986;-38.59
1525.419999999986;-39.0
1525.439999999986;-39.5
1525.459999999986;-40.18
1525.479999999986;-40.66
1525.499999999986;-41.28
1525.5199999999859;-42.04
1525.5399999999859;-42.73
1525.5599999999858;-43.19
1525.5799999999858;-44.01
1525.5999999999858;-44.87
1525.6199999999858;-45.04
1525.6399999999858;-45.99
1525.6599999999858;-46.6
1525.6799999999857;-46.65
1525.6999999999857;-46.84
1525.7199999999857;-45.84
1525.7399999999857;-44.87
1525.7599999999857;-44.58
1525.7799999999856;-43.43
1525.7999999999856;-42.6
1525.8199999999856;-41.93
1525.8399999999856;-41.28
1525.8599999999856;-40.82
1525.8799999999856;-40.18
1525.8999999999855;-39.47
1525.9199999999855;-38.97
1525.9399999999855;-38.55
1525.9599999999855;-38.12
1525.9799999999855;-37.65
1525.9999999999854;-37.16
1526.0199999999854;-36.68
1526.0399999999854;-36.28
1526.0599999999854;-35.99
1526.0799999999854;-35.76
1526.0999999999854;-35.52
1526.1199999999853;-35.3
1526.1399999999853;-35.11
1526.1599999999853;-34.91
1526.1799999999853;-34.73
1526.1999999999853;-34.56
1526.2199999999852;-34.37
1526.2399999999852;-34.28
1526.2599999999852;-34.15
1526.2799999999852;-34.03
1526.2999999999852;-33.92
1526.3199999999852;-33.87
1526.3399999999851;-33.83
1526.3599999999851;-33.8
1526.379999999985;-33.79
1526.399999999985;-33.77
1526.419999999985;-33.8
1526.439999999985;-33.84
1526.459999999985;-33.89
1526.479999999985;-33.93
1526.499999999985;-33.99
1526.519999999985;-34.04
1526.539999999985;-34.05
1526.559999999985;-34.11
1526.579999999985;-34.22
1526.599999999985;-34.37
1526.6199999999849;-34.47
1526.6399999999849;-34.6
1526.6599999999848;-34.74
1526.6799999999848;-34.85
1526.6999999999848;-34.99
1526.7199999999848;-35.12
1526.7399999999848;-35.26
1526.7599999999848;-35.45
1526.7799999999847;-35.64
1526.7999999999847;-35.83
1526.8199999999847;-36.08
1526.8399999999847;-36.4
1526.8599999999847;-36.82
1526.8799999999846;-37.21
1526.8999999999846;-37.61
1526.9199999999846;-38.15
1526.9399999999846;-38.66
1526.9599999999846;-39.22
1526.9799999999846;-39.91
1526.9999999999845;-40.83
1527.0199999999845;-41.56
1527.0399999999845;-42.41
1527.0599999999845;-43.13
1527.0799999999845;-44.21
1527.0999999999844;-45.99
1527.1199999999844;-47.19
1527.1399999999844;-46.96
1527.1599999999844;-48.63
1527.1799999999844;-48.35
1527.1999999999844;-47.4
1527.2199999999843;-46.35
1527.2399999999843;-44.73
1527.2599999999843;-43.62
1527.2799999999843;-42.51
1527.2999999999843;-41.33
1527.3199999999842;-40.63
1527.3399999999842;-39.86
1527.3599999999842;-39.14
1527.3799999999842;-38.72
1527.3999999999842;-38.17
1527.4199999999842;-37.64
1527.4399999999841;-37.05
1527.4599999999841;-36.51
1527.479999999984;-36.11
1527.499999999984;-35.79
1527.519999999984;-35.53
1527.539999999984;-35.25
1527.559999999984;-34.98
1527.579999999984;-34.7
1527.599999999984;-34.47
1527.619999999984;-34.25
1527.639999999984;-34.04
1527.659999999984;-33.85
1527.679999999984;-33.7
1527.699999999984;-33.58
1527.7199999999839;-33.41
1527.7399999999839;-33.31
1527.7599999999838;-33.25
1527.7799999999838;-33.23
1527.7999999999838;-33.17
1527.8199999999838;-33.15
1527.8399999999838;-33.18
1527.8599999999838;-33.12
1527.8799999999837;-33.1
1527.8999999999837;-33.1
1527.9199999999837;-33.13
1527.9399999999837;-33.15
1527.9599999999837;-33.16
1527.9799999999836;-33.16
1527.9999999999836;-33.21
1528.0199999999836;-33.26
1528.0399999999836;-33.32
1528.0599999999836;-33.37
1528.0799999999836;-33.42
1528.0999999999835;-33.49
1528.1199999999835;-33.6
1528.1399999999835;-33.73
1528.1599999999835;-33.83
1528.1799999999835;-33.91
1528.1999999999834;-33.97
1528.2199999999834;-34.12
1528.2399999999834;-34.32
